trace file for the simulation
format of the file
<event> <time> <item id> <server1 status> <server2 status> <queue size>

d	4.39097	24	1	1	14
s	4.39097	25	1	1	13
a	4.43842	39	1	1	13
d	4.67883	25	1	1	14
s	4.67883	26	1	1	13
d	4.6873	26	1	1	13
s	4.6873	27	1	1	12
d	4.81608	27	1	1	12
s	4.81608	28	1	1	11
d	4.94595	28	1	1	11
s	4.94595	29	1	1	10
a	4.96444	40	1	1	10
d	4.99907	29	1	1	11
s	4.99907	30	1	1	10
a	5.00548	41	1	1	10
d	5.0168	30	1	1	11
s	5.0168	31	1	1	10
a	5.04099	42	1	1	10
d	5.08917	31	1	1	11
s	5.08917	32	1	1	10
d	5.11878	32	1	1	10
s	5.11878	33	1	1	9
d	5.19462	33	1	1	9
s	5.19462	34	1	1	8
a	5.21688	43	1	1	8
a	5.22268	44	1	1	9
a	5.25548	45	1	1	10
d	5.27272	34	1	1	11
s	5.27272	35	1	1	10
d	5.32396	35	1	1	10
s	5.32396	36	1	1	9
d	5.41935	36	1	1	9
s	5.41935	37	1	1	8
d	5.45014	37	1	1	8
s	5.45014	38	1	1	7
d	5.49975	38	1	1	7
s	5.49975	39	1	1	6
a	5.50249	46	1	1	6
d	5.55554	39	1	1	7
s	5.55554	40	1	1	6
a	5.61559	47	1	1	6
d	5.74422	40	1	1	7
s	5.74422	41	1	1	6
a	5.78129	48	1	1	6
a	5.80568	49	1	1	7
d	5.82976	41	1	1	8
s	5.82976	42	1	1	7
d	5.83077	42	1	1	7
s	5.83077	43	1	1	6
d	5.85933	43	1	1	6
s	5.85933	44	1	1	5
a	5.87897	50	1	1	5
d	5.96559	44	1	1	6
s	5.96559	45	1	1	5
d	6.00756	45	1	1	5
s	6.00756	46	1	1	4
a	6.07652	51	1	1	4
d	6.07851	46	1	1	5
s	6.07851	47	1	1	4
d	6.11421	47	1	1	4
s	6.11421	48	1	1	3
d	6.18257	48	1	1	3
s	6.18257	49	1	1	2
d	6.37397	49	1	1	2
s	6.37397	50	1	1	1
d	6.37915	50	1	1	1
s	6.37915	51	1	1	0
a	6.38276	52	1	1	0
a	6.39384	53	1	1	1
a	6.43461	54	1	1	2
a	6.56726	55	1	1	3
d	6.57464	51	1	1	4
s	6.57464	52	1	1	3
a	6.66193	56	1	1	3
a	6.66571	57	1	1	4
a	6.70804	58	1	1	5
d	6.84004	52	1	1	6
s	6.84004	53	1	1	5
d	6.85314	53	1	1	5
s	6.85314	54	1	1	4
d	6.87278	54	1	1	4
s	6.87278	55	1	1	3
a	6.91647	59	1	1	3
d	6.9269	55	1	1	4
s	6.9269	56	1	1	3
d	7.09956	56	1	1	3
s	7.09956	57	1	1	2
a	7.10021	60	1	1	2
d	7.11976	57	1	1	3
s	7.11976	58	1	1	2
a	7.18287	61	1	1	2
a	7.25902	62	1	1	3
a	7.29368	63	1	1	4
d	7.30584	58	1	1	5
s	7.30584	59	1	1	4
a	7.39395	64	1	1	4
d	7.43328	59	1	1	5
s	7.43328	60	1	1	4
a	7.45666	65	1	1	4
d	7.47153	60	1	1	5
s	7.47153	61	1	1	4
a	7.48776	66	1	1	4
d	7.50411	61	1	1	5
s	7.50411	62	1	1	4
a	7.57041	67	1	1	4
a	7.68155	68	1	1	5
a	7.70163	69	1	1	6
d	7.71366	62	1	1	7
s	7.71366	63	1	1	6
d	7.77963	63	1	1	6
s	7.77963	64	1	1	5
d	7.82073	64	1	1	5
s	7.82073	65	1	1	4
d	7.90601	65	1	1	4
s	7.90601	66	1	1	3
